
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2026-08-13


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Imperial Valley-02
Station Name:, El Centro
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 6, -, 1.0, -, 17.7, 24.2, 1.6, "Imperial Valley-02", 1940, "El Centro Array #9", 6.95, strike slip, 6.09, 6.09, 213.44, 0.25, 1.0, RSN6_IMPVALL.I_I-ELC180.AT2, RSN6_IMPVALL.I_I-ELC270.AT2 , RSN6_IMPVALL.I_I-ELC-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-6 SRSS pSa (g)
0.667,0.65835875,0.65835875,0.65835875,0.65835875
0.7,0.70334729,0.70334729,0.70334729,0.70334729
0.75,0.61563077,0.61563077,0.61563077,0.61563077
0.8,0.66809042,0.66809042,0.66809042,0.66809042
0.85,0.65848916,0.65848916,0.65848916,0.65848916
0.9,0.60079755,0.60079755,0.60079755,0.60079755
0.95,0.57615643,0.57615643,0.57615643,0.57615643
1.0,0.54619215,0.54619215,0.54619215,0.54619215
1.1,0.46101209,0.46101209,0.46101209,0.46101209
1.2,0.47675766,0.47675766,0.47675766,0.47675766
1.3,0.39788503,0.39788503,0.39788503,0.39788503
1.4,0.28752883,0.28752883,0.28752883,0.28752883
1.5,0.24831879,0.24831879,0.24831879,0.24831879
1.6,0.24806713,0.24806713,0.24806713,0.24806713
1.7,0.25695266,0.25695266,0.25695266,0.25695266
1.8,0.26544416,0.26544416,0.26544416,0.26544416
1.9,0.28271997,0.28271997,0.28271997,0.28271997
2.0,0.30142738,0.30142738,0.30142738,0.30142738
2.2,0.26269746,0.26269746,0.26269746,0.26269746
2.4,0.21781189,0.21781189,0.21781189,0.21781189
2.5,0.19740187,0.19740187,0.19740187,0.19740187
2.6,0.183296,0.183296,0.183296,0.183296
2.8,0.16915085,0.16915085,0.16915085,0.16915085
3.0,0.15032037,0.15032037,0.15032037,0.15032037
3.2,0.122919,0.122919,0.122919,0.122919
3.4,0.10605894,0.10605894,0.10605894,0.10605894
3.5,0.09996147,0.09996147,0.09996147,0.09996147
3.6,0.09407607,0.09407607,0.09407607,0.09407607
3.8,0.08303756,0.08303756,0.08303756,0.08303756
4.0,0.07320164,0.07320164,0.07320164,0.07320164
4.2,0.06464836,0.06464836,0.06464836,0.06464836
4.4,0.05712647,0.05712647,0.05712647,0.05712647
4.6,0.05292506,0.05292506,0.05292506,0.05292506
4.8,0.05438166,0.05438166,0.05438166,0.05438166
5.0,0.05992838,0.05992838,0.05992838,0.05992838
5.5,0.05618058,0.05618058,0.05618058,0.05618058
6.0,0.04666144,0.04666144,0.04666144,0.04666144
6.5,0.03673987,0.03673987,0.03673987,0.03673987
7.0,0.03260415,0.03260415,0.03260415,0.03260415
7.5,0.02771686,0.02771686,0.02771686,0.02771686
8.0,0.02384703,0.02384703,0.02384703,0.02384703
8.5,0.01988197,0.01988197,0.01988197,0.01988197
9.0,0.01622451,0.01622451,0.01622451,0.01622451
